OPERADOR,SERVICIO,MODALIDAD,LOCALIDAD,INDICATIVO,BLOQUE,RESOLUCION,FECHA
TELECOM ARGENTINA S.A.,STM/PCS,CPP,PUERTO IGUAZU,3757,505,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN MIGUEL DE TUCUMAN,381,597,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,PUERTO IGUAZU,3757,503,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN ANDRES DE GILES,2325,424,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN ANDRES DE GILES,2325,425,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN ANDRES DE GILES,2325,423,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAMPACHO,3582,430,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,ROSARIO,341,321,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,PUERTO IGUAZU,3757,500,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RIO GALLEGOS,2966,664,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN JUAN,264,477,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RAFAELA,3492,681,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RIO GALLEGOS,2966,665,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RIO GALLEGOS,2966,668,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN JUAN,264,476,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,PASO DE LOS LIBRES,3772,445,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,ROSARIO DEL TALA,3445,434,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,ROJAS,2475,417,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RIO GALLEGOS,2966,667,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RIO GALLEGOS,2966,666,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN JUSTO (PROV.  SANTA FE),3498,447,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN JUSTO (PROV.  SANTA FE),3498,446,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,RIO CUARTO,358,431,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,TERMAS DE RIO HONDO,3858,440,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,POSADAS,376,4732,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SANTIAGO DEL ESTERO,385,501,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN JAVIER (PROV.  SANTA FE),3405,409,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN JAVIER (PROV.  SANTA FE),3405,408,SC 148/07,39321
TELECOM ARGENTINA S.A.,STM/PCS,CPP,SAN JORGE (PROV.  SANTA FE),3406,429,SC 148/07,39321
